SEF	1.0.0
ID	Frankfurt-Main-Feldbergstr
Name	Frankfurt-Main-Feldbergstr
Lat	50.1168
Lon	8.6808
Alt	102.0
Source	DWD
Link	
Vbl	p
Stat	point
Units	hPa
Meta	PTC=?|PGC=?|DWD Station number 01425
Year	Month	Day	Hour	Minute	Period	Value	Meta
1887	10	19	5	25	0	1017.00	qc=5
1887	10	19	13	25	0	1016.70	qc=5
1887	10	19	21	25	0	1016.00	qc=5
1887	10	20	5	25	0	1015.20	qc=5
1887	10	20	13	25	0	1014.60	qc=5
1887	10	20	21	25	0	1013.50	qc=5
1887	10	21	5	25	0	1013.80	qc=5
1887	10	21	13	25	0	1013.90	qc=5
1887	10	21	21	25	0	1017.80	qc=5
1887	10	22	5	25	0	1020.70	qc=5
1887	10	22	13	25	0	1021.90	qc=5
1887	10	22	21	25	0	1020.00	qc=5
1887	10	23	5	25	0	1018.20	qc=5
1887	10	23	13	25	0	1012.80	qc=5
1887	10	23	21	25	0	1007.00	qc=5
1887	10	24	5	25	0	999.10	qc=5
1887	10	24	13	25	0	992.00	qc=5
1887	10	24	21	25	0	997.90	qc=5
1887	10	25	5	25	0	1003.10	qc=5
1887	10	25	13	25	0	1009.00	qc=5
1887	10	25	21	25	0	1016.40	qc=5
1887	10	26	5	25	0	1021.60	qc=5
1887	10	26	13	25	0	1020.80	qc=5
1887	10	26	21	25	0	1020.40	qc=5
1887	10	27	5	25	0	1015.80	qc=5
1887	10	27	13	25	0	1009.60	qc=5
1887	10	27	21	25	0	1005.00	qc=5
1887	10	28	5	25	0	1003.10	qc=5
1887	10	28	13	25	0	1000.60	qc=5
1887	10	28	21	25	0	999.50	qc=5
1887	10	29	5	25	0	1001.10	qc=5
1887	10	29	13	25	0	999.80	qc=5
1887	10	29	21	25	0	998.20	qc=5
1887	10	30	5	25	0	989.50	qc=5
1887	10	30	13	25	0	992.40	qc=5
1887	10	30	21	25	0	996.70	qc=5
1887	10	31	5	25	0	995.90	qc=5
1887	10	31	13	25	0	993.80	qc=5
1887	10	31	21	25	0	998.00	qc=5
1887	11	1	5	25	0	997.20	qc=5
1887	11	1	13	25	0	991.90	qc=5
1887	11	1	21	25	0	986.60	qc=5
1887	11	2	5	25	0	984.20	qc=5
1887	11	2	13	25	0	988.30	qc=5
1887	11	2	21	25	0	991.60	qc=5
1887	11	3	5	25	0	989.00	qc=5
1887	11	3	13	25	0	981.50	qc=5
1887	11	3	21	25	0	982.40	qc=5
1887	11	4	5	25	0	984.80	qc=5
1887	11	4	13	25	0	985.90	qc=5
1887	11	4	21	25	0	987.50	qc=5
1887	11	5	5	25	0	992.30	qc=5
1887	11	5	13	25	0	993.80	qc=5
1887	11	5	21	25	0	994.80	qc=5
1887	11	6	5	25	0	994.30	qc=5
1887	11	6	13	25	0	992.20	qc=5
1887	11	6	21	25	0	992.20	qc=5
1887	11	7	5	25	0	992.40	qc=5
1887	11	7	13	25	0	992.80	qc=5
1887	11	7	21	25	0	993.80	qc=5
1887	11	8	5	25	0	995.10	qc=5
1887	11	8	13	25	0	996.60	qc=5
1887	11	8	21	25	0	997.50	qc=5
1887	11	9	5	25	0	999.50	qc=5
1887	11	9	13	25	0	1001.90	qc=5
1887	11	9	21	25	0	1001.90	qc=5
1887	11	10	5	25	0	1000.20	qc=5
1887	11	10	13	25	0	999.10	qc=5
1887	11	10	21	25	0	999.00	qc=5
1887	11	11	5	25	0	997.20	qc=5
1887	11	11	13	25	0	997.10	qc=5
1887	11	11	21	25	0	1000.20	qc=5
1887	11	12	5	25	0	1004.70	qc=5
1887	11	12	13	25	0	1006.40	qc=5
1887	11	12	21	25	0	1007.50	qc=5
1887	11	13	5	25	0	1008.20	qc=5
1887	11	13	13	25	0	1005.20	qc=5
1887	11	13	21	25	0	1000.30	qc=5
1887	11	14	5	25	0	991.90	qc=5
1887	11	14	13	25	0	984.70	qc=5
1887	11	14	21	25	0	985.40	qc=5
1887	11	15	5	25	0	996.70	qc=5
1887	11	15	13	25	0	1003.50	qc=5
1887	11	15	21	25	0	1008.60	qc=5
1887	11	16	5	25	0	1013.00	qc=5
1887	11	16	13	25	0	1017.10	qc=5
1887	11	16	21	25	0	1016.00	qc=5
1887	11	17	5	25	0	1014.30	qc=5
1887	11	17	13	25	0	1008.40	qc=5
1887	11	17	21	25	0	1000.70	qc=5
1887	11	18	5	25	0	995.10	qc=5
1887	11	18	13	25	0	991.20	qc=5
1887	11	18	21	25	0	988.00	qc=5
1887	11	19	5	25	0	985.40	qc=5
1887	11	19	13	25	0	984.20	qc=5
1887	11	19	21	25	0	984.70	qc=5
1887	11	20	5	25	0	985.00	qc=5
1887	11	20	13	25	0	984.00	qc=5
1887	11	20	21	25	0	983.20	qc=5
1887	11	21	5	25	0	984.40	qc=5
1887	11	21	13	25	0	984.40	qc=5
1887	11	21	21	25	0	987.50	qc=5
1887	11	22	5	25	0	991.40	qc=5
1887	11	22	13	25	0	992.80	qc=5
1887	11	22	21	25	0	995.90	qc=5
1887	11	23	5	25	0	999.80	qc=5
1887	11	23	13	25	0	1001.10	qc=5
1887	11	23	21	25	0	1002.00	qc=5
1887	11	24	5	25	0	1001.20	qc=5
1887	11	24	13	25	0	997.60	qc=5
1887	11	24	21	25	0	995.90	qc=5
1887	11	25	5	25	0	995.40	qc=5
1887	11	25	13	25	0	994.30	qc=5
1887	11	25	21	25	0	997.50	qc=5
1887	11	26	5	25	0	1001.50	qc=5
1887	11	26	13	25	0	1003.50	qc=5
1887	11	26	21	25	0	1004.60	qc=5
