SEF	1.0.0
ID	MARAC_AGGLOMERATION
Name	MARAC_AGGLOMERATION
Lat	47.9283
Lon	5.1933
Alt	367.0
Source	Meteo-France
Link	
Vbl	p
Stat	point
Units	hPa
Meta	PTC=?|PGC=?|MF Station number 52307001|Department 52
Year	Month	Day	Hour	Minute	Period	Value	Meta
1886	1	1	6	0	0	988.30	 
1886	1	1	12	0	0	994.90	 
1886	1	1	21	0	0	993.00	 
1886	1	2	6	0	0	989.90	 
1886	1	2	12	0	0	988.90	 
1886	1	2	21	0	0	988.20	 
1886	1	3	6	0	0	987.40	 
1886	1	3	12	0	0	990.70	 
1886	1	3	21	0	0	997.90	 
1886	1	4	6	0	0	999.40	 
1886	1	4	12	0	0	996.50	 
1886	1	4	21	0	0	991.40	 
1886	1	5	6	0	0	987.70	 
1886	1	5	12	0	0	987.90	 
1886	1	5	21	0	0	987.90	 
1886	1	6	6	0	0	983.90	 
1886	1	6	12	0	0	985.70	 
1886	1	6	21	0	0	984.20	 
1886	1	7	6	0	0	982.60	 
1886	1	7	12	0	0	986.90	 
1886	1	7	21	0	0	987.00	 
1886	1	8	6	0	0	983.00	 
1886	1	8	12	0	0	977.80	 
1886	1	8	21	0	0	971.30	 
1886	1	9	6	0	0	983.00	 
1886	1	9	12	0	0	977.40	 
1886	1	9	21	0	0	978.70	 
1886	1	10	6	0	0	974.90	 
1886	1	10	12	0	0	979.00	 
1886	1	10	21	0	0	972.20	 
1886	1	11	6	0	0	971.80	 
1886	1	11	12	0	0	975.30	 
1886	1	11	21	0	0	964.50	 
1886	1	12	6	0	0	973.80	 
1886	1	12	12	0	0	983.30	 
1886	1	12	21	0	0	971.40	 
1886	1	13	6	0	0	960.30	 
1886	1	13	12	0	0	962.10	 
1886	1	13	21	0	0	965.50	 
1886	1	14	6	0	0	971.10	 
1886	1	14	12	0	0	970.20	 
1886	1	14	21	0	0	975.10	 
1886	1	15	6	0	0	975.70	 
1886	1	15	12	0	0	976.60	 
1886	1	15	21	0	0	984.20	 
1886	1	16	6	0	0	987.30	 
1886	1	16	12	0	0	987.10	 
1886	1	16	21	0	0	984.60	 
1886	1	17	6	0	0	986.60	 
1886	1	17	12	0	0	987.00	 
1886	1	17	21	0	0	987.10	 
1886	1	18	6	0	0	989.30	 
1886	1	18	12	0	0	991.00	 
1886	1	18	21	0	0	989.70	 
1886	1	19	6	0	0	987.10	 
1886	1	19	12	0	0	978.70	 
1886	1	19	21	0	0	977.90	 
1886	1	20	6	0	0	986.50	 
1886	1	20	12	0	0	988.10	 
1886	1	20	21	0	0	985.50	 
1886	1	21	6	0	0	984.50	 
1886	1	21	12	0	0	987.90	 
1886	1	21	21	0	0	988.30	 
1886	1	22	6	0	0	987.50	 
1886	1	22	12	0	0	974.30	 
1886	1	22	21	0	0	977.00	 
1886	1	23	6	0	0	988.30	 
1886	1	23	12	0	0	990.60	 
1886	1	23	21	0	0	983.40	 
1886	1	24	6	0	0	982.10	 
1886	1	24	12	0	0	978.20	 
1886	1	24	21	0	0	973.80	 
1886	1	25	6	0	0	965.80	 
1886	1	25	12	0	0	979.70	 
1886	1	25	21	0	0	978.90	 
1886	1	26	6	0	0	969.50	 
1886	1	26	12	0	0	979.50	 
1886	1	26	21	0	0	987.30	 
1886	1	27	6	0	0	977.50	 
1886	1	27	12	0	0	980.20	 
1886	1	27	21	0	0	981.50	 
1886	1	28	6	0	0	978.90	 
1886	1	28	12	0	0	977.00	 
1886	1	28	21	0	0	974.60	 
1886	1	29	6	0	0	977.90	 
1886	1	29	12	0	0	969.30	 
1886	1	29	21	0	0	963.40	 
1886	1	30	6	0	0	957.00	 
1886	1	30	12	0	0	972.60	 
1886	1	30	21	0	0	985.90	 
1886	1	31	6	0	0	983.70	 
1886	1	31	12	0	0	985.40	 
1886	1	31	21	0	0	986.30	 
1886	2	1	6	0	0	981.10	 
1886	2	1	12	0	0	981.80	 
1886	2	1	21	0	0	976.50	 
1886	2	2	6	0	0	977.30	 
1886	2	2	12	0	0	970.30	 
1886	2	2	21	0	0	963.10	 
1886	2	3	6	0	0	957.40	 
1886	2	3	12	0	0	968.10	 
1886	2	3	21	0	0	959.70	 
1886	2	4	6	0	0	963.50	 
1886	2	4	12	0	0	958.20	 
1886	2	4	21	0	0	967.50	 
1886	2	5	6	0	0	969.80	 
1886	2	5	12	0	0	973.00	 
1886	2	5	21	0	0	963.00	 
1886	2	6	6	0	0	959.40	 
1886	2	6	12	0	0	961.30	 
1886	2	6	21	0	0	965.30	 
1886	2	7	6	0	0	968.50	 
1886	2	7	12	0	0	970.20	 
1886	2	7	21	0	0	973.90	 
1886	2	8	6	0	0	977.70	 
1886	2	8	12	0	0	970.20	 
1886	2	8	21	0	0	963.40	 
1886	2	9	6	0	0	971.40	 
1886	2	9	12	0	0	967.50	 
1886	2	9	21	0	0	965.90	 
1886	2	10	6	0	0	970.70	 
1886	2	10	12	0	0	967.90	 
1886	2	10	21	0	0	961.40	 
1886	2	11	6	0	0	968.10	 
1886	2	11	12	0	0	976.10	 
1886	2	11	21	0	0	975.90	 
1886	2	12	6	0	0	975.50	 
1886	2	12	12	0	0	976.60	 
1886	2	12	21	0	0	975.80	 
1886	2	13	6	0	0	976.90	 
1886	2	13	12	0	0	976.10	 
1886	2	13	21	0	0	974.30	 
1886	2	14	6	0	0	970.70	 
1886	2	14	12	0	0	967.10	 
1886	2	14	21	0	0	968.70	 
1886	2	15	6	0	0	969.80	 
1886	2	15	12	0	0	967.40	 
1886	2	15	21	0	0	965.80	 
1886	2	16	6	0	0	971.00	 
1886	2	16	12	0	0	969.50	 
1886	2	16	21	0	0	970.90	 
1886	2	17	6	0	0	970.20	 
1886	2	17	12	0	0	969.50	 
1886	2	17	21	0	0	968.90	 
1886	2	18	6	0	0	970.70	 
1886	2	18	12	0	0	969.50	 
1886	2	18	21	0	0	967.70	 
1886	2	19	6	0	0	967.30	 
1886	2	19	12	0	0	964.30	 
1886	2	19	21	0	0	967.90	 
1886	2	20	6	0	0	968.30	 
1886	2	20	12	0	0	963.70	 
1886	2	20	21	0	0	963.90	 
1886	2	21	6	0	0	966.70	 
1886	2	21	12	0	0	971.10	 
1886	2	21	21	0	0	973.50	 
1886	2	22	6	0	0	966.90	 
1886	2	22	12	0	0	963.80	 
1886	2	22	21	0	0	963.70	 
1886	2	23	6	0	0	965.70	 
1886	2	23	12	0	0	971.40	 
1886	2	23	21	0	0	974.10	 
1886	2	24	6	0	0	971.50	 
1886	2	24	12	0	0	969.90	 
1886	2	24	21	0	0	969.80	 
1886	2	25	6	0	0	975.70	 
1886	2	25	12	0	0	978.20	 
1886	2	25	21	0	0	976.10	 
1886	2	26	6	0	0	972.10	 
1886	2	26	12	0	0	970.90	 
1886	2	26	21	0	0	978.50	 
1886	2	27	6	0	0	978.60	 
1886	2	27	12	0	0	978.90	 
1886	2	27	21	0	0	977.30	 
1886	2	28	6	0	0	974.20	 
1886	2	28	12	0	0	976.50	 
1886	2	28	21	0	0	970.60	 
1886	3	1	6	0	0	975.80	 
1886	3	1	12	0	0	973.90	 
1886	3	1	21	0	0	976.10	 
1886	3	2	6	0	0	975.30	 
1886	3	2	12	0	0	977.30	 
1886	3	2	21	0	0	979.90	 
1886	3	3	6	0	0	978.70	 
1886	3	3	12	0	0	977.00	 
1886	3	3	21	0	0	976.50	 
