SEF	1.0.0
ID	MONTMARTIN_SUR_MER_ECOLE
Name	MONTMARTIN_SUR_MER_ECOLE
Lat	48.9900
Lon	-1.5233
Alt	50.0
Source	Meteo-France
Link	
Vbl	p
Stat	point
Units	hPa
Meta	PTC=?|PGC=?|MF Station number 50349001|Department 50
Year	Month	Day	Hour	Minute	Period	Value	Meta
1959	1	12	6	0	0	1027.50	 
1962	2	27	6	0	0	1026.70	 
1962	2	28	6	0	0	1024.40	 
1962	3	1	6	0	0	1011.80	 
1962	3	3	6	0	0	1003.00	 
1962	3	4	6	0	0	998.70	 
1962	12	27	6	0	0	1017.00	 
1962	12	28	6	0	0	1027.40	 
1962	12	29	6	0	0	1022.20	 
1962	12	30	6	0	0	1012.30	 
1963	2	2	6	0	0	1007.00	 
1963	2	3	6	0	0	1012.10	 
1963	2	4	6	0	0	1014.70	 
1963	2	5	6	0	0	1001.10	 
1963	2	6	6	0	0	993.00	 
1963	2	10	6	0	0	998.30	 
1963	2	18	6	0	0	1012.30	 
1963	2	19	6	0	0	1015.30	 
1963	2	20	6	0	0	1005.90	 
1963	2	21	6	0	0	1018.60	 
1963	2	22	6	0	0	1023.90	 
1963	2	23	6	0	0	1032.00	 
1963	2	24	6	0	0	1033.80	 
1964	12	27	6	0	0	1029.00	 
1964	12	28	6	0	0	1019.20	 
1964	12	29	6	0	0	1003.50	 
1965	3	2	6	0	0	1033.80	 
1965	3	3	6	0	0	1021.80	 
1966	1	16	6	0	0	1016.70	 
1966	1	17	6	0	0	1022.40	 
1966	1	18	6	0	0	1020.80	 
