SEF	0.2.0
ID	ZH01_Zurich_Scheuchzer
Name	Zürich
Lat	47.37162
Lon	8.54398
Alt	418
Source	CHIMES
Link	https://doi.org/10.5194/cp-15-1345-2019
Vbl	p
Stat	point
Units	hPa
Meta	Observer=Johann Jakob Scheuchzer|PTC=N|PGC=Y|QC software=dataresqc v0.1.2
Year	Month	Day	Hour	Minute	Period	Value	Meta
1708	1	1	NA	NA	0	948.6	orig=28.1Ein|orig.time=vormittag
1708	1	3	NA	NA	0	954	orig=28.17Ein|orig.time=vormittag
1708	1	4	NA	NA	0	957	orig=28.26Ein|orig.time=vormittag
1708	1	5	NA	NA	0	954	orig=28.17Ein|orig.time=vormittag
1708	1	6	NA	NA	0	948.6	orig=28.1Ein|orig.time=vormittag
1708	1	7	NA	NA	0	954	orig=28.17Ein|orig.time=vormittag
1708	1	8	NA	NA	0	947.9	orig=27.99Ein|orig.time=vormittag
1708	1	9	NA	NA	0	936	orig=27.64Ein|orig.time=vormittag
1708	1	10	NA	NA	0	929.9	orig=27.46Ein|orig.time=vormittag
1708	1	11	NA	NA	0	929.9	orig=27.46Ein|orig.time=vormittag
1708	1	12	NA	NA	0	947.9	orig=27.99Ein|orig.time=vormittag
1708	1	13	NA	NA	0	939.1	orig=27.73Ein|orig.time=vormittag
1708	1	14	NA	NA	0	939.1	orig=27.73Ein|orig.time=vormittag
1708	1	15	NA	NA	0	947.9	orig=27.99Ein|orig.time=vormittag
1708	1	17	NA	NA	0	954	orig=28.17Ein|orig.time=vormittag
1708	1	18	NA	NA	0	950.9	orig=28.8Ein|orig.time=vormittag
1708	1	19	NA	NA	0	944.8	orig=27.90Ein|orig.time=vormittag
1708	1	20	NA	NA	0	944.8	orig=27.90Ein|orig.time=vormittag
1708	1	21	NA	NA	0	941.8	orig=27.81Ein|orig.time=vormittag
1708	1	22	NA	NA	0	939.1	orig=27.73Ein|orig.time=vormittag
1708	1	23	NA	NA	0	947.9	orig=27.99Ein|orig.time=vormittag
